pin,slack
Q_obuf[13]/U0/U_IOPAD:D,570
Q_obuf[13]/U0/U_IOPAD:E,
Q_obuf[13]/U0/U_IOPAD:PAD,570
Q_cry[10]:B,2836
Q_cry[10]:CC,2210
Q_cry[10]:P,
Q_cry[10]:S,2210
Q_cry[10]:UB,
Q_obuf[7]/U0/U_IOOUTFF:A,1460
Q_obuf[7]/U0/U_IOOUTFF:Y,1460
Q_obuf[9]/U0/U_IOOUTFF:A,1460
Q_obuf[9]/U0/U_IOOUTFF:Y,1460
Q_obuf[13]/U0/U_IOOUTFF:A,570
Q_obuf[13]/U0/U_IOOUTFF:Y,570
Q_obuf[13]/U0/U_IOENFF:A,
Q_obuf[13]/U0/U_IOENFF:Y,
rst_ibuf/U0/U_IOINFF:A,3080
rst_ibuf/U0/U_IOINFF:Y,3080
Q_obuf[10]/U0/U_IOPAD:D,1504
Q_obuf[10]/U0/U_IOPAD:E,
Q_obuf[10]/U0/U_IOPAD:PAD,1504
en_ibuf/U0/U_IOPAD:PAD,3275
en_ibuf/U0/U_IOPAD:Y,3275
Q_obuf[15]/U0/U_IOOUTFF:A,570
Q_obuf[15]/U0/U_IOOUTFF:Y,570
Q_obuf[12]/U0/U_IOPAD:D,1504
Q_obuf[12]/U0/U_IOPAD:E,
Q_obuf[12]/U0/U_IOPAD:PAD,1504
Q_obuf[10]/U0/U_IOOUTFF:A,1504
Q_obuf[10]/U0/U_IOOUTFF:Y,1504
Q_obuf[11]/U0/U_IOPAD:D,1460
Q_obuf[11]/U0/U_IOPAD:E,
Q_obuf[11]/U0/U_IOPAD:PAD,1460
Q_cry[14]:B,3118
Q_cry[14]:CC,2098
Q_cry[14]:P,
Q_cry[14]:S,2098
Q_cry[14]:UB,
Q_Z[7]:CLK,1460
Q_Z[7]:D,2266
Q_Z[7]:EN,3080
Q_Z[7]:Q,1460
Q_Z[7]:SLn,4061
Q_obuf[9]/U0/U_IOENFF:A,
Q_obuf[9]/U0/U_IOENFF:Y,
Q_obuf[0]/U0/U_IOENFF:A,
Q_obuf[0]/U0/U_IOENFF:Y,
Q_cry[9]:B,2423
Q_cry[9]:CC,2309
Q_cry[9]:P,2423
Q_cry[9]:S,2309
Q_cry[9]:UB,
Q_cry[2]:B,2314
Q_cry[2]:CC,2736
Q_cry[2]:P,2314
Q_cry[2]:S,2736
Q_cry[2]:UB,
clk_ibuf_RNIVTI2/U0:An,
clk_ibuf_RNIVTI2/U0:YNn,
Q_obuf[6]/U0/U_IOPAD:D,529
Q_obuf[6]/U0/U_IOPAD:E,
Q_obuf[6]/U0/U_IOPAD:PAD,529
Q_obuf[5]/U0/U_IOPAD:D,570
Q_obuf[5]/U0/U_IOPAD:E,
Q_obuf[5]/U0/U_IOPAD:PAD,570
Q_obuf[11]/U0/U_IOENFF:A,
Q_obuf[11]/U0/U_IOENFF:Y,
en_ibuf/U0/U_IOINFF:A,3275
en_ibuf/U0/U_IOINFF:Y,3275
Q_Z[8]:CLK,1460
Q_Z[8]:D,2195
Q_Z[8]:EN,3080
Q_Z[8]:Q,1460
Q_Z[8]:SLn,4061
Q_Z[0]:CLK,1452
Q_Z[0]:D,3330
Q_Z[0]:EN,3080
Q_Z[0]:Q,1452
Q_Z[0]:SLn,4061
Q_obuf[9]/U0/U_IOPAD:D,1460
Q_obuf[9]/U0/U_IOPAD:E,
Q_obuf[9]/U0/U_IOPAD:PAD,1460
Q_obuf[7]/U0/U_IOPAD:D,1460
Q_obuf[7]/U0/U_IOPAD:E,
Q_obuf[7]/U0/U_IOPAD:PAD,1460
Q_Z[14]:CLK,1504
Q_Z[14]:D,2098
Q_Z[14]:EN,3080
Q_Z[14]:Q,1504
Q_Z[14]:SLn,4061
en_ibuf_RNIM99D:A,3275
en_ibuf_RNIM99D:B,3080
en_ibuf_RNIM99D:Y,3080
Q_obuf[5]/U0/U_IOOUTFF:A,570
Q_obuf[5]/U0/U_IOOUTFF:Y,570
Q_obuf[3]/U0/U_IOPAD:D,529
Q_obuf[3]/U0/U_IOPAD:E,
Q_obuf[3]/U0/U_IOPAD:PAD,529
Q_obuf[14]/U0/U_IOPAD:D,1504
Q_obuf[14]/U0/U_IOPAD:E,
Q_obuf[14]/U0/U_IOPAD:PAD,1504
Q_cry[7]:B,2357
Q_cry[7]:CC,2266
Q_cry[7]:P,2357
Q_cry[7]:S,2266
Q_cry[7]:UB,
Q_obuf[1]/U0/U_IOPAD:D,570
Q_obuf[1]/U0/U_IOPAD:E,
Q_obuf[1]/U0/U_IOPAD:PAD,570
Q_obuf[15]/U0/U_IOPAD:D,570
Q_obuf[15]/U0/U_IOPAD:E,
