pin,slack
reset_ibuf/U0/U_IOINFF:A,
reset_ibuf/U0/U_IOINFF:Y,
Qout_obuf[9]/U0/U_IOOUTFF:A,
Qout_obuf[9]/U0/U_IOOUTFF:Y,
Qout_obuf[14]/U0/U_IOPAD:D,
Qout_obuf[14]/U0/U_IOPAD:E,
Qout_obuf[14]/U0/U_IOPAD:PAD,
Qout_Z[9]:CLK,
Qout_Z[9]:D,3725
Qout_Z[9]:EN,2421
Qout_Z[9]:Q,
Qout_Z[9]:SLn,
Qout_obuf[5]/U0/U_IOOUTFF:A,
Qout_obuf[5]/U0/U_IOOUTFF:Y,
count[1]:CLK,6431
count[1]:D,7362
count[1]:Q,6431
Q[11]:CLK,3725
Q[11]:D,8661
Q[11]:EN,
Q[11]:Q,3725
Q[11]:SLn,
count[0]:CLK,6279
count[0]:D,7350
count[0]:Q,6279
count_r[0]:A,
count_r[0]:B,
count_r[0]:C,7350
count_r[0]:Y,7350
Qout_obuf[8]/U0/U_IOOUTFF:A,
Qout_obuf[8]/U0/U_IOOUTFF:Y,
Q[1]:CLK,3725
Q[1]:D,8661
Q[1]:EN,
Q[1]:Q,3725
Q[1]:SLn,
clk_ibuf_RNIVTI2/U0:An,
clk_ibuf_RNIVTI2/U0:YSn,
Qout_obuf[0]/U0/U_IOOUTFF:A,
Qout_obuf[0]/U0/U_IOOUTFF:Y,
Q[5]:CLK,3725
Q[5]:D,8661
Q[5]:EN,
Q[5]:Q,3725
Q[5]:SLn,
Qout_Z[11]:CLK,
Qout_Z[11]:D,3725
Qout_Z[11]:EN,2421
Qout_Z[11]:Q,
Qout_Z[11]:SLn,
Qout_obuf[6]/U0/U_IOENFF:A,
Qout_obuf[6]/U0/U_IOENFF:Y,
Qout_obuf[10]/U0/U_IOPAD:D,
Qout_obuf[10]/U0/U_IOPAD:E,
Qout_obuf[10]/U0/U_IOPAD:PAD,
Qout_Z[12]:CLK,
Qout_Z[12]:D,3725
Qout_Z[12]:EN,2421
Qout_Z[12]:Q,
Qout_Z[12]:SLn,
Qout_obuf[11]/U0/U_IOPAD:D,
Qout_obuf[11]/U0/U_IOPAD:E,
Qout_obuf[11]/U0/U_IOPAD:PAD,
Q[10]:CLK,3725
Q[10]:D,8661
Q[10]:EN,
Q[10]:Q,3725
Q[10]:SLn,
Qout_Z[14]:CLK,
Qout_Z[14]:D,3725
Qout_Z[14]:EN,2421
Qout_Z[14]:Q,
Qout_Z[14]:SLn,
Qout_obuf[10]/U0/U_IOOUTFF:A,
Qout_obuf[10]/U0/U_IOOUTFF:Y,
count_r[2]:A,7542
count_r[2]:B,6279
